"fed_2012","cog2","LIBELLE","age","sex","licences","value.pop","ratio","lib_federation","id"
106,"44109","NANTES","45_59","h",10,22614,0.442203944459185,"Fédération Française de boxe",150
107,"44109","NANTES","5_9","h",0,7228,0,"Fédération Française de canoë-kayak",151
107,"44109","NANTES","all","all",183,284959,0.642197649486417,"Fédération Française de canoë-kayak",152
107,"44109","NANTES","0_4","h",0,8470,0,"Fédération Française de canoë-kayak",153
107,"44109","NANTES","20_29","all",31,61559,0.503581929531019,"Fédération Française de canoë-kayak",154
107,"44109","NANTES","0_4","f",0,8001,0,"Fédération Française de canoë-kayak",155
107,"44109","NANTES","10_14","f",5,6837,0.731314904197748,"Fédération Française de canoë-kayak",156
107,"44109","NANTES","5_9","f",0,7196,0,"Fédération Française de canoë-kayak",157
107,"44109","NANTES","10_14","h",11,6932,1.5868436237738,"Fédération Française de canoë-kayak",158
107,"44109","NANTES","75_99","all",0,22648,0,"Fédération Française de canoë-kayak",159
107,"44109","NANTES","all","h",123,134799,0.912469677074756,"Fédération Française de canoë-kayak",160
107,"44109","NANTES","0_4","all",0,16471,0,"Fédération Française de canoë-kayak",161
107,"44109","NANTES","30_44","all",56,56868,0.984736582964057,"Fédération Française de canoë-kayak",162
107,"44109","NANTES","45_59","all",52,48534,1.0714138542053,"Fédération Française de canoë-kayak",163
107,"44109","NANTES","75_99","h",0,7393,0,"Fédération Française de canoë-kayak",164
107,"44109","NANTES","15_19","f",3,11317,0.265087920827074,"Fédération Française de canoë-kayak",165
107,"44109","NANTES","all","f",59,150160,0.392914224826851,"Fédération Française de canoë-kayak",166
107,"44109","NANTES","15_19","h",10,10134,0.986777185711466,"Fédération Française de canoë-kayak",167
107,"44109","NANTES","15_19","all",13,21451,0.606032352804065,"Fédération Française de canoë-kayak",168
107,"44109","NANTES","20_29","f",6,31181,0.192424874122062,"Fédération Française de canoë-kayak",169
107,"44109","NANTES","60_74","all",14,29235,0.478878057123311,"Fédération Française de canoë-kayak",170
107,"44109","NANTES","45_59","f",27,25920,1.04166666666667,"Fédération Française de canoë-kayak",171
107,"44109","NANTES","60_74","f",5,16920,0.295508274231678,"Fédération Française de canoë-kayak",172
107,"44109","NANTES","60_74","h",9,12316,0.730756739201039,"Fédération Française de canoë-kayak",173
107,"44109","NANTES","75_99","f",0,15255,0,"Fédération Française de canoë-kayak",174
107,"44109","NANTES","20_29","h",25,30378,0.822963987095925,"Fédération Française de canoë-kayak",175
107,"44109","NANTES","30_44","h",43,29334,1.46587577555056,"Fédération Française de canoë-kayak",176
107,"44109","NANTES","5_9","all",0,14424,0,"Fédération Française de canoë-kayak",177
107,"44109","NANTES","10_14","all",16,13768,1.16211504938989,"Fédération Française de canoë-kayak",178
107,"44109","NANTES","45_59","h",25,22614,1.10550986114796,"Fédération Française de canoë-kayak",179
107,"44109","NANTES","30_44","f",13,27534,0.472143531633617,"Fédération Française de canoë-kayak",180
108,"44109","NANTES","5_9","h",17,7228,2.35196458218041,"Fédération Française de cyclisme",181
108,"44109","NANTES","10_14","f",2,6837,0.292525961679099,"Fédération Française de cyclisme",182
108,"44109","NANTES","15_19","f",2,11317,0.176725280551383,"Fédération Française de cyclisme",183
108,"44109","NANTES","20_29","f",3,31181,0.0962124370610308,"Fédération Française de cyclisme",184
108,"44109","NANTES","10_14","h",38,6932,5.48182342758223,"Fédération Française de cyclisme",185
108,"44109","NANTES","15_19","h",20,10134,1.97355437142293,"Fédération Française de cyclisme",186
108,"44109","NANTES","0_4","h",0,8470,0,"Fédération Française de cyclisme",187
108,"44109","NANTES","all","h",195,134799,1.44659826853315,"Fédération Française de cyclisme",188
108,"44109","NANTES","60_74","all",18,29235,0.615700359158543,"Fédération Française de cyclisme",189
108,"44109","NANTES","45_59","all",38,48534,0.782956278073103,"Fédération Française de cyclisme",190
108,"44109","NANTES","5_9","f",0,7196,0,"Fédération Française de cyclisme",191
108,"44109","NANTES","all","all",210,284959,0.736948122361463,"Fédération Française de cyclisme",192
108,"44109","NANTES","30_44","f",3,27534,0.108956199607758,"Fédération Française de cyclisme",193
108,"44109","NANTES","0_4","all",0,16471,0,"Fédération Française de cyclisme",194
108,"44109","NANTES","60_74","h",16,12316,1.29912309191296,"Fédération Française de cyclisme",195
